animal_type,primary_color,sex,intake_condition,intake_type,has_name,days_to_adoption,age_at_intake_days,intake_is_weekend,intake_month_sin,intake_month_cos,intake_dayofweek_sin,intake_dayofweek_cos
CAT,GRAY/BLUE/SILVER,SPAYED,UNDER AGE/WEIGHT,STRAY,1,84,14.0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
CAT,TABBY,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,82,1.0,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
DOG,WHITE/PINK,NEUTERED,ILL/INJURED MILD,STRAY,1,8,2191.0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
DOG,WHITE/PINK,NEUTERED,ILL/INJURED MILD,STRAY,1,36,2921.0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
RABBIT,MULTI-COLORED,SPAYED,NORMAL,OWNER SURRENDER,1,70,92.0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
RABBIT,BROWN/TAN,SPAYED,NORMAL,OWNER SURRENDER,1,24,365.0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
DOG,BROWN/TAN,SPAYED,NORMAL,OWNER SURRENDER,1,43,773.0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
DOG,BROWN/TAN,NEUTERED,NORMAL,STRAY,1,37,1923.0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
DOG,BROWN/TAN,NEUTERED,NORMAL,STRAY,1,11,457.0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
DOG,WHITE/PINK,NEUTERED,NORMAL,STRAY,1,22,1096.0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
CAT,TABBY,NEUTERED,ILL/INJURED MILD,STRAY,1,11,92.0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
DOG,BLACK,NEUTERED,NORMAL,STRAY,1,13,731.0,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
DOG,WHITE/PINK,SPAYED,NORMAL,STRAY,1,16,1096.0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
DOG,BLACK,SPAYED,NORMAL,STRAY,1,43,730.0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,WHITE/PINK,SPAYED,ILL/INJURED MODERATE,STRAY,1,36,1826.0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
CAT,GRAY/BLUE/SILVER,NEUTERED,ILL/INJURED MILD,STRAY,1,170,2539.0,0,-1.0,-1.8369701987210297e-16,0.0,1.0
CAT,BLACK,SPAYED,UNDER AGE/WEIGHT,STRAY,1,28,38.0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
CAT,BLACK,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,31,38.0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
CAT,TABBY,SPAYED,ILL/INJURED MODERATE,STRAY,1,22,61.0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,MALE,NORMAL,STRAY,1,15,51.0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
CAT,BLACK,SPAYED,NORMAL,RETURN,1,37,87.0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
DOG,BLACK,SPAYED,FERAL/FRACTIOUS,OWNER SURRENDER,1,15,2557.0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,NEUTERED,UNDER AGE/WEIGHT,SEIZED/CONFISCATE,1,71,41.0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
DOG,MULTI-COLORED,NEUTERED,NORMAL,STRAY,1,65,334.0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
OTHER,BLACK,FEMALE,NORMAL,STRAY,0,17,204.0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
DOG,LIGHT/WARM,NEUTERED,NORMAL,STRAY,1,6,181.0,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,SPAYED,NORMAL,OWNER SURRENDER,1,120,478.0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
DOG,BLACK,SPAYED,NORMAL,STRAY,1,38,1095.0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
DOG,MULTI-COLORED,NEUTERED,NORMAL,STRAY,1,24,184.0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
DOG,MULTI-COLORED,NEUTERED,NORMAL,STRAY,1,41,184.0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
CAT,BLACK,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,56,31.0,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434
CAT,TORTIE,FEMALE,UNDER AGE/WEIGHT,STRAY,1,20,36.0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
DOG,WHITE/PINK,SPAYED,NORMAL,OWNER SURRENDER,1,45,427.0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
CAT,TABBY,NEUTERED,NORMAL,OWNER SURRENDER,1,36,380.0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,SPAYED,NORMAL,STRAY,1,217,1547.0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,SPAYED,NORMAL,STRAY,1,56,181.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
DOG,BROWN/TAN,SPAYED,NORMAL,STRAY,1,120,181.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
CAT,LIGHT/WARM,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,26,49.0,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
DOG,BROWN/TAN,MALE,NORMAL,STRAY,1,70,2922.0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
CAT,BROWN/TAN,NEUTERED,NORMAL,STRAY,1,7,46.0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
CAT,BROWN/TAN,SPAYED,NORMAL,STRAY,1,6,46.0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
CAT,TABBY,FEMALE,ILL/INJURED MILD,STRAY,1,1,30.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,BLACK,FEMALE,ILL/INJURED MILD,STRAY,1,37,30.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,BLACK,SPAYED,ILL/INJURED MILD,STRAY,1,18,30.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,BLACK,FEMALE,ILL/INJURED MILD,STRAY,1,37,30.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,TABBY,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,9,42.0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
DOG,BLACK,SPAYED,ILL/INJURED MILD,STRAY,1,35,2510.0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
DOG,LIGHT/WARM,SPAYED,NORMAL,STRAY,1,11,1826.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
DOG,WHITE/PINK,NEUTERED,NORMAL,STRAY,1,23,730.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
DOG,GRAY/BLUE/SILVER,MALE,NORMAL,STRAY,1,4,365.0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
DOG,WHITE/PINK,NEUTERED,ILL/INJURED MILD,STRAY,1,21,1826.0,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
DOG,BLACK,NEUTERED,NORMAL,OWNER SURRENDER,1,15,2556.0,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
CAT,WHITE/PINK,FEMALE,NORMAL,STRAY,1,4,61.0,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,NEUTERED,NORMAL,STRAY,1,11,1826.0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
DOG,BLACK,SPAYED,NORMAL,STRAY,1,48,365.0,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
CAT,LIGHT/WARM,FEMALE,ILL/INJURED MILD,STRAY,1,20,31.0,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419
